"ensembl_gene_id_version","baseMean","log2FoldChange","lfcSE","pvalue","padj","external_gene_name","description","ensembl_gene_id","gene_type"
"ENSG00000227232.5",10.6928217139363,-0.152419891060043,0.450835483854404,0.614646282931011,0.727672604727053,"WASH7P","WASP family homolog 7, pseudogene [Source:HGNC Symbol;Acc:HGNC:38034]","ENSG00000227232","unprocessed_pseudogene"
"ENSG00000241860.7",2.93254579428384,0.0487890898735356,0.539710952440771,0.837763831953577,0.895704582877836,"AL627309.5","novel transcript","ENSG00000241860","lncRNA"
"ENSG00000279457.4",28.4530611219335,-0.695664914221823,0.426656104995593,0.0365227490552063,0.0784824714460634,"WASH9P","WAS protein family homolog 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:53981]","ENSG00000279457","unprocessed_pseudogene"
"ENSG00000228463.10",3.85723842441312,0.181200157460602,0.557804054719904,0.474190267045032,0.607155554300119,"AP006222.1","ribosomal protein L23a (RPL23A) pseudogene","ENSG00000228463","transcribed_processed_pseudogene"
"ENSG00000237094.12",3.35888047759403,-0.0731439184054006,0.534972309161335,0.765865573985865,0.844532430978102,"AL732372.2","pseudogene similar to part of septin 14 SEPT14","ENSG00000237094","transcribed_unprocessed_pseudogene"
"ENSG00000225630.1",1658.45089081293,-0.0853690309817609,0.145263655518511,0.564148203534381,0.686289249214848,"MTND2P28","MT-ND2 pseudogene 28 [Source:HGNC Symbol;Acc:HGNC:42129]","ENSG00000225630","unprocessed_pseudogene"
"ENSG00000237973.1",1527.50705346758,0.799187411652431,0.139615192035684,4.04834265162748e-09,3.53389833687192e-08,"MTCO1P12","MT-CO1 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52014]","ENSG00000237973","unprocessed_pseudogene"
"ENSG00000229344.1",14.503258472506,0.855211208583792,0.620115219096749,0.0368302030586982,0.0790304760615346,"MTCO2P12","MT-CO2 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52028]","ENSG00000229344","unprocessed_pseudogene"
"ENSG00000248527.1",5141.8573197338,0.0956892103235953,0.129891683480895,0.451595421224667,0.584891255545331,"MTATP6P1","MT-ATP6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:44575]","ENSG00000248527","unprocessed_pseudogene"
"ENSG00000198744.5",12.2924139193682,-0.101176260572328,0.426141491600877,0.735842469689986,0.82211271537975,"MTCO3P12","MT-CO3 pseudogene 12 [Source:HGNC Symbol;Acc:HGNC:52042]","ENSG00000198744","unprocessed_pseudogene"
